original_text,text,label
Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa  ... To all fans,oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa ... to all fans,Positive
Yavan da sonna  NKP  Ku expection varadunu Thala daaaaaaa,yavan da sonna nkp ku expection varadunu thala daaaaaaa,Positive
Thalapathi fan.But dislike panna manasu varala,thalapathi fan.but dislike panna manasu varala,Positive
What ah speech Thala Ajith Kumar,what ah speech thala ajith kumar,Positive
Trailler pidikkadhavangalaam  like pannunga    expect panna alavukku trailer illa oknna like pannunga....,trailler pidikkadhavangalaam like pannunga expect panna alavukku trailer illa oknna like pannunga....,Positive
Thala acting vera level nu solravanga like panunga,thala acting vera level nu solravanga like panunga,Positive
THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum... .,thala always masss.. ippo sollava venum y1 music vera level ah irukkum... .,Positive
Thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..,thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..,Positive
Now you are lying lying lying. Thala mass,now you are lying lying lying. thala mass,Positive
Usure mela poitu varuthu Thala ungala paakum pothu.....,usure mela poitu varuthu thala ungala paakum pothu.....,Positive
Thala court scene marana mass dialogue delivery super duper hit,thala court scene marana mass dialogue delivery super duper hit,Positive
Thala  looking  mass,thala looking mass,Positive
"@0:21 oh man, Thala looking amazing",":21 oh man, thala looking amazing",Positive
Thalaaa !!!!!!.....yuvan poramboku ena da bgm potu vechirka,thalaaa !!!!!!.....yuvan poramboku ena da bgm potu vechirka,Positive
Adangappa semma tralier fight na innum thrikum 🤗🤗🤗,adangappa semma tralier fight na innum thrikum 🤗🤗🤗,Positive
Ayioooo mudela da punda yanna detu padom purela da 🤔🤔,ayioooo mudela da punda yanna detu padom purela da 🤔🤔,Negative
Hindi padam trailer patha maari iruku,hindi padam trailer patha maari iruku,Positive
Nadigar Ajith I kaanaa.... We are waiting...,nadigar ajith i kaanaa.... we are waiting...,Positive
Idhu podhum thala idhu podhum thala aiyooooo sema thala nee,idhu podhum thala idhu podhum thala aiyooooo sema thala nee,Positive
Iam Vijay fan.... Trailer Vera levelsemaa Thala,iam vijay fan.... trailer vera levelsemaa thala,Positive
Ayyyoo thala pindriye thala.... Vera level dharisanan thala,ayyyoo thala pindriye thala.... vera level dharisanan thala,Positive
dislike panna terrorist ah adichu kollunga da,dislike panna terrorist ah adichu kollunga da,Negative
Amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam,amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam,Mixed_feelings
R u vergin .....vara level opening thala...,r u vergin .....vara level opening thala...,Positive
Social luku theva pada koodiya Padam,social luku theva pada koodiya padam,Positive
Ioooo iooo iooo ennanu solrathu thala nenga vera leval...,ioooo iooo iooo ennanu solrathu thala nenga vera leval...,Positive
Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga,thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga,Positive
Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru,sigaramna everestu nadipunna enga thala ajith kumaru,Positive
Ithuku  than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩,ithuku than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩,Positive
Last part music I love it,last part music i love it,Positive
"Appedilaam nadekaathu, nadake kudaathu!! The bulls eyes🤩","appedilaam nadekaathu, nadake kudaathu!! the bulls eyes🤩",Positive
Yellam great... Ivarukaga theva ilama oru fight scene add paniruku padathula... Unwanted.. adhe originality nalla irundhirukum avaruku... Little disappointed..,yellam great... ivarukaga theva ilama oru fight scene add paniruku padathula... unwanted.. adhe originality nalla irundhirukum avaruku... little disappointed..,Positive
Thala love you so much ummmmmmmmmma,thala love you so much ummmmmmmmmma,Positive
Unga viwasatha kaata mathavangala yen avamana paduthureenga!!!thala for u.... thala bloods....,unga viwasatha kaata mathavangala yen avamana paduthureenga!!!thala for u.... thala bloods....,Positive
Ajith sir in veru patta nadipu.vera leval,ajith sir in veru patta nadipu.vera leval,Positive
Intha padam kandippa crime story aatha irukkum,intha padam kandippa crime story aatha irukkum,Positive
Romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck,romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck,Positive
From Karnataka kiccha  Sudeep fans like here,from karnataka kiccha sudeep fans like here,Positive
"Trailer oda kadaisi dialogue, Kola mass","trailer oda kadaisi dialogue, kola mass",Positive
Ellam avan seyal movie madri iruku,ellam avan seyal movie madri iruku,Negative
Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku,maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku,Positive
Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada,amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada,Positive
1:16 Rangaraj Pandey.. Avar nadikkala. Avaroda velaya padathula seiraru,1:16 rangaraj pandey.. avar nadikkala. avaroda velaya padathula seiraru,Positive
Thaaru maaru... Thala ku Film Fare award confirm...,thaaru maaru... thala ku film fare award confirm...,Positive
Come on Thala fans beginning festival  Nerkonda paarvai,come on thala fans beginning festival nerkonda paarvai,Positive
Ellam iruku but ethoo miss aguthu ...that mass avlova illa,ellam iruku but ethoo miss aguthu ...that mass avlova illa,Positive
Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........,oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa sema thala.........,Positive
Romba nal kaluchi thalaya opening scene illama pakuran,romba nal kaluchi thalaya opening scene illama pakuran,Positive
Yuvan da ivana minja Evan da,yuvan da ivana minja evan da,Positive
Ippidi nariya nariya nariya superb dialogue,ippidi nariya nariya nariya superb dialogue,Positive
Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep,oruthar mela neenga viswasam kata.. inoruthara neenga asinga paduthuringa.... deep,Positive
Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...,padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...,Positive
Samaa superrr thala machans oru like podungha,samaa superrr thala machans oru like podungha,Positive
Niraya niraya niraya paer wait pannitirukkom thala.,niraya niraya niraya paer wait pannitirukkom thala.,Positive
Thala mass dialogue class vera level,thala mass dialogue class vera level,Positive
THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola,thala padama ithu koothi maari iruku trailer....... padam punda mathiri irukum pola,Negative
Ajith = h.Vinod= Siva = h. Raja,ajith = h.vinod= siva = h. raja,Positive
Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....,manushan epudi vanthalum tharama irukaru ya... thalaaa... this time classy after a mass viswasam....,Positive
Last ah keta kelvi...paaahhh semmaa thala,last ah keta kelvi...paaahhh semmaa thala,Positive
"Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore","thala darisanum, yenna charisma, yenna english, yenna alagzhu, lion voice.. thala blood thala veriyan from bangalore",Positive
Vera level thala marana mass thala I am waiting,vera level thala marana mass thala i am waiting,Positive
Appudila nadakathu.... Nadaka kudathu....             Thala,appudila nadakathu.... nadaka kudathu.... thala,Positive
Kerala Vikram fans like butten Adichu pottikku,kerala vikram fans like butten adichu pottikku,Positive
Vikram he to best hi hogi..,vikram he to best hi hogi..,Positive
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,hollywood range la iruku padam kandipa blockbuster hit! semma story....,Mixed_feelings
Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum,vechu senjutinga thalaiva ... padam marana mass. kandipa innoru vaati pakkanum,Mixed_feelings
Superb movie!!! Vikram looks Mass!!! Well made movie ..no lag...,superb movie!!! vikram looks mass!!! well made movie ..no lag...,Positive
Vikram looks just like he was in iru mugan. Looks cool !,vikram looks just like he was in iru mugan. looks cool !,Mixed_feelings
Vayase aagala pa.. ena effort chanceless.. 🤙,vayase aagala pa.. ena effort chanceless.. 🤙,Positive
Die hard chiyaan fans like here,die hard chiyaan fans like here,Positive
படம் எப்ப ரிலீஸ்??? When this movie  release???,படம் எப்ப ரிலீஸ்??? when this movie release???,Positive
U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me,u kena tunggu lebih lama lagi untuk tau saya.. you have to wait longer to know me,not-Tamil
"omg, Indian filmmaking is so embarassing xD","omg, indian filmmaking is so embarassing xd",Positive
Vara vara gibran bgm la kalakkuran,vara vara gibran bgm la kalakkuran,Positive
Movie kab release hogi uska date fix batao,movie kab release hogi uska date fix batao,not-Tamil
"Kuch samajh nai aaya , lekin dekh k acha laga.","kuch samajh nai aaya , lekin dekh k acha laga.",not-Tamil
Hollywood movie ka remek hain point blank ka,hollywood movie ka remek hain point blank ka,not-Tamil
chiyan veriyan ivan pandiyan  street aruppukottai,chiyan veriyan ivan pandiyan street aruppukottai,Positive
Plzzzzzz sir ji hindi me bhi chahiye..,plzzzzzz sir ji hindi me bhi chahiye..,not-Tamil
AR rahuman on board chiyaan vikram 58,ar rahuman on board chiyaan vikram 58,Positive
213k likes but just 3.9 unlikes only fr chiyaan,213k likes but just 3.9 unlikes only fr chiyaan,Positive
nenga vilaiyanadhuu enn kitte Ella yeman kittee..,nenga vilaiyanadhuu enn kitte ella yeman kittee..,Positive
movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan ),movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan ),Negative
Ivaruku vayasu agala vayasu koranchukitu iruku,ivaruku vayasu agala vayasu koranchukitu iruku,Mixed_feelings
Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir,neenga velayadanathu enkitta illa yeman kitta only one dialogue is enough chiyaan uyir,Positive
you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue,you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue,not-Tamil
Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku,vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku,Positive
Vikram Telugu fans hit like here,vikram telugu fans hit like here,Positive
Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....,vikram hair style....pidichavanga like podunga pa..... naamalum vaipom future le...andha hair style le.....,Positive
you kena tunggu lama lagi untuk tosai !!!,you kena tunggu lama lagi untuk tosai !!!,not-Tamil
Age is not a matter for vikram,age is not a matter for vikram,Positive
Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?,ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?,Negative
Die HEARTfan of VikramSir ...  FROM Tollywood ....,die heartfan of vikramsir ... from tollywood ....,Positive
Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.,kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.,Positive
Hindi me kyo nhi late trailer,hindi me kyo nhi late trailer,not-Tamil
Vikram sir you will never get old,vikram sir you will never get old,Positive
neenga vilayadnathu enkitte ille yaman kitte  chiyan vikram,neenga vilayadnathu enkitte ille yaman kitte chiyan vikram,Positive
Trailer lam nalla irukku...!! Aana padatha release panna maatringale pa.....,trailer lam nalla irukku...!! aana padatha release panna maatringale pa.....,Positive
Can i get 2k like for vikram sir,can i get 2k like for vikram sir,Positive
Iam from odisha   I am big fan of vikram sir,iam from odisha i am big fan of vikram sir,Positive
Chiyanisam is  sema thookkal aaha,chiyanisam is sema thookkal aaha,Positive
1:37 You Kene Tunggu Lama Lagi Untuk Tahu Saya  MALAYSIA LANGUAGE,1:37 you kene tunggu lama lagi untuk tahu saya malaysia language,not-Tamil
Very happy to see our lena lena chechi i love you umma umma umma,very happy to see our lena lena chechi i love you umma umma umma,Positive
Chiyan vikram sir's   heavy  trailer.....,chiyan vikram sir's heavy trailer.....,Positive
Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal,ippo bigboss vetukulla vikrama anupe asega paduthuvan kamal,Negative
mass chiyaan vikramyamaan daakk na yaruu???,mass chiyaan vikramyamaan daakk na yaruu???,Positive
This man never gets old,this man never gets old,Positive
Why dont you make movie relies in hindi.........,why dont you make movie relies in hindi.........,Positive
Ita yavudu release panna udunga ya,ita yavudu release panna udunga ya,Positive
I am the chiyaan fan ta,i am the chiyaan fan ta,Positive
Chiyaan Vikram sir u r awesome sir.u have maintained good physique,chiyaan vikram sir u r awesome sir.u have maintained good physique,Positive
1:00 LUV U  Chiyaan Vikram and LUV U DUKE,1:00 luv u chiyaan vikram and luv u duke,Positive
Hindi me full movie rielij Karu,hindi me full movie rielij karu,Positive
Indha trailera big bossla podanumnu ninaikkaravunga like pannunga,indha trailera big bossla podanumnu ninaikkaravunga like pannunga,Positive
Vikram looks like splinter cell Sam Fisher,vikram looks like splinter cell sam fisher,Positive
അണ്ണൻ ഉയിർ  Love from  kerala 🥰,അണ്ണൻ ഉയിർ love from kerala 🥰,not-Tamil
Next ulaga nayagan namma chiyan vikram thaan,next ulaga nayagan namma chiyan vikram thaan,Positive
chiyan vikram I and Aprichit movie fans like 🤘🤘,chiyan vikram i and aprichit movie fans like 🤘🤘,Positive
"Wow Vikram spoke Malay word “You kena tunggu lebih lama lagi,until tahu saya”. Wowww","wow vikram spoke malay word “you kena tunggu lebih lama lagi,until tahu saya”. wowww",Positive
You kena tungu lebih lama lagi untuk tahu saya... Vikram speak malay....,you kena tungu lebih lama lagi untuk tahu saya... vikram speak malay....,Positive
Chiyan vikram sema style  waiting for kadaram kondan,chiyan vikram sema style waiting for kadaram kondan,Positive
Ghibran ku aaagavey padam hit aaganum,ghibran ku aaagavey padam hit aaganum,Positive
You kena tunggu lebih lama lagi... untuk tahu saya!   Masss Chiyaan,you kena tunggu lebih lama lagi... untuk tahu saya! masss chiyaan,Positive
Is he like anit hero in this film.... But semaya iruku.. Chiyaan ipdi paaka,is he like anit hero in this film.... but semaya iruku.. chiyaan ipdi paaka,Positive
when i am seeing vikram here its like john wick,when i am seeing vikram here its like john wick,Positive
Vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..,vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..,Positive
Itha paaka transporter Tamil remake maari iruku,itha paaka transporter tamil remake maari iruku,Positive
You kena tungu lama lagi mahu jumpa saya.....last malay language....,you kena tungu lama lagi mahu jumpa saya.....last malay language....,Positive
Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum,vikram sir ella costumum ella characterum unga orutharuku thaan suit akum,Positive
U kena tunggu lebih lama lagi...  Untuk tahu saya ...,u kena tunggu lebih lama lagi... untuk tahu saya ...,not-Tamil
Meaning of kadaram kondan is king of Malaysia,meaning of kadaram kondan is king of malaysia,Positive
1:06 gibran Vera level,1:06 gibran vera level,Positive
Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..,trailer pakka super ah iruku but rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..,Positive
Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck,enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo periya maveeranoda name fuck,Negative
Hindi version bhi sath aa jaye to mza aa jaye,hindi version bhi sath aa jaye to mza aa jaye,not-Tamil
Still acting like a youngster...Chiyaan Vikram,still acting like a youngster...chiyaan vikram,Positive
Vera level getup last minute super bro,vera level getup last minute super bro,Positive
Konjam Irumugan Madhiri irukku....All the best.....team,konjam irumugan madhiri irukku....all the best.....team,Mixed_feelings
U kena tungu lebih Lama lagi untuk tau saya,u kena tungu lebih lama lagi untuk tau saya,not-Tamil
Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here,super hit trailer love from pakistan chiyaan vikram sir fans hit like here,Positive
Chiyaan  semma   Love from kerala,chiyaan semma love from kerala,Positive
Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga,vikramuku indha padam hit kodukum accept pannuravunga like pannunga,Positive
Hindi mein bhi release karo movie,hindi mein bhi release karo movie,not-Tamil
Enth look aado oru raksha ella,enth look aado oru raksha ella,Positive
Dia kena tunggu lame lg.. utk tau saya... hhahahahaha,dia kena tunggu lame lg.. utk tau saya... hhahahahaha,not-Tamil
You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?,you kena tunggu lebih lama lagi untuk tahu saya! who heard this malaysians?,not-Tamil
Missed shruti hassan's kadam kondam song.....,missed shruti hassan's kadam kondam song.....,Positive
I like Vikram sir.l want to see him in a joker like character,i like vikram sir.l want to see him in a joker like character,Positive
Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ..,solid trailer hindi mein bhi release kar do dub karke chiyaan vikram fans like here ..,not-Tamil
All d best from all Kannadigas....,all d best from all kannadigas....,Positive
Kadaram... Enna karumam da idhu 🤧 FLOP !!,kadaram... enna karumam da idhu 🤧 flop !!,Negative
Plz hindi me v dubbed kijiye ....  For We all hindi fan .plzzzzzzzzzz,plz hindi me v dubbed kijiye .... for we all hindi fan .plzzzzzzzzzz,not-Tamil
wow Is Movie 3Million   View 175k Like Best luck Bikram Sir Fan Likr Here,wow is movie 3million view 175k like best luck bikram sir fan likr here,Positive
but i want karikalachozhan also,but i want karikalachozhan also,Positive
Ethirpartha alavukku illa...bgm mattama irukku... Why ghibran🤦‍🤦‍,ethirpartha alavukku illa...bgm mattama irukku... why ghibran🤦‍🤦‍,Mixed_feelings
Super super super super super super super Vikram variyan da,super super super super super super super vikram variyan da,Positive
Ama Inga enga Kamal Hassan ah kanom,ama inga enga kamal hassan ah kanom,Positive
Yen pa idu trending la elha??,yen pa idu trending la elha??,Positive
Dei Vikram ku trailer mattum nalla pannuvanga da.Ana Padam mokkiya irukum.,dei vikram ku trailer mattum nalla pannuvanga da.ana padam mokkiya irukum.,Mixed_feelings
Chiyaan Vikram die hard fans like here,chiyaan vikram die hard fans like here,Positive
diehard fan of chiyaan vikram,diehard fan of chiyaan vikram,Positive
Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,Positive
खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. Akshay kumar,खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. akshay kumar,not-Tamil
sankar sir fans hit like here,sankar sir fans hit like here,Positive
Semma semma CG AND SEMMA BACKGROUND,semma semma cg and semma background,Positive
"Super but, Not like to see Hollywood level....","super but, not like to see hollywood level....",Negative
INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR,india's biggest movie! india's biggest stars! super star rajini kanth super star akshay kumar,Negative
Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa,ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa,Mixed_feelings
CHITTI RELOADED..   EXPECTATION OVERLOADED,chitti reloaded.. expectation overloaded,Positive
Appo  phone ai thatti vitta  sivakumar kandippa akshay kumar oda sleeper cell dhaan..,appo phone ai thatti vitta sivakumar kandippa akshay kumar oda sleeper cell dhaan..,Negative
All best to 2.0 from kannadigas....super star rajani sir,all best to 2.0 from kannadigas....super star rajani sir,Negative
Heat like for Akshay and Rajnikant,heat like for akshay and rajnikant,Negative
Trailer na  ipdi irukanum!!! Maasssssss,trailer na ipdi irukanum!!! maasssssss,Positive
Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum,otha semma happy daa 🤘 oru payyen kitte nerunga mudiyadhu otha haters vaai mudidum,Negative
Tamil cinema 2.0 vera level la irukku marana mass trailer,tamil cinema 2.0 vera level la irukku marana mass trailer,Mixed_feelings
Mind it Love u rajani sir Love u akshay sir,mind it love u rajani sir love u akshay sir,Positive
Real King Of Indian Cinema Akshay Kumar,real king of indian cinema akshay kumar,Positive
"Irukku,,,, padathula neraya transformers and terminator kadha irukku","irukku,,,, padathula neraya transformers and terminator kadha irukku",Mixed_feelings
Jaldi se hindi version mai release karo yar..,jaldi se hindi version mai release karo yar..,not-Tamil
Graphics sari illa nu solrathukune oru gang suthum parunga,graphics sari illa nu solrathukune oru gang suthum parunga,Mixed_feelings
"Mairu mari iruku trailer, idhuku teaser thevalam.","mairu mari iruku trailer, idhuku teaser thevalam.",Positive
VFX mokka Daww sollitu oru group suthittu irukkanunga,vfx mokka daww sollitu oru group suthittu irukkanunga,Mixed_feelings
2.0   TOH    ZERO  WHO WILL WIN?,2.0 toh zero who will win?,Mixed_feelings
Graphics sari illa nu solrathukune oru gang suthum parunga,graphics sari illa nu solrathukune oru gang suthum parunga,Positive
Semma trailer Hollywood movie trailer pakara mari ruku,semma trailer hollywood movie trailer pakara mari ruku,Negative
Otha Teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm...,otha teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm...,Negative
A big like from Mumbai,a big like from mumbai,Negative
Rajini sir Shankar and akshay Kumar sir hat's off vyara level,rajini sir shankar and akshay kumar sir hat's off vyara level,Mixed_feelings
Bollywood wale yaha hagne na aye,bollywood wale yaha hagne na aye,Negative
Teaser la irundhadha apdiye trailer la potrukinga...avlo lam nalla ila.. So sad,teaser la irundhadha apdiye trailer la potrukinga...avlo lam nalla ila.. so sad,Negative
"What a trailer, indian cinema va vera level ku kondupoga poguthu intha film Akshay kumar vera level Superstar","what a trailer, indian cinema va vera level ku kondupoga poguthu intha film akshay kumar vera level superstar",Negative
Looks like power rangers spd emergency,looks like power rangers spd emergency,Negative
Biggest Fan Of Akshay Kumar From Australia Hit Like For Superstar Rajinikant & Superstar Akshay Kumar,biggest fan of akshay kumar from australia hit like for superstar rajinikant & superstar akshay kumar,Mixed_feelings
Thalapathy fans like Sarkar diwali like here,thalapathy fans like sarkar diwali like here,Positive
Super Star soldra WOOOW Vera Level la iruku superrrrrb,super star soldra wooow vera level la iruku superrrrrb,Mixed_feelings
Video game trailer or movie trailer? RRR fans like here!!,video game trailer or movie trailer? rrr fans like here!!,Positive
Hollywood movie vida vera level la eruku sir.  Shankar sir it's awesome,hollywood movie vida vera level la eruku sir. shankar sir it's awesome,Positive
Dei Antha Paravaya paathale mersal ah irruku da,dei antha paravaya paathale mersal ah irruku da,Negative
Last gun sound in headphone ku ku,last gun sound in headphone ku ku,Negative
ONE WORD : MASTERPIECE  THANKYOU SHANKAR SIR FOR VFX TREAT,one word : masterpiece thankyou shankar sir for vfx treat,Positive
Power rangers maadhiri eduthu vachirukinga,power rangers maadhiri eduthu vachirukinga,Positive
I'm Chitti  Reloaded version 2.0,i'm chitti reloaded version 2.0,Mixed_feelings
Wow semma mass varthaiye illa therikkuthu,wow semma mass varthaiye illa therikkuthu,Negative
